tags,long,lat,dTime,source_file
254026_2,-122.3109919,36.28093238,2024-05-15T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.2104328,36.40628023,2024-05-15T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.264892,36.45387438,2024-05-15T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.3050908,36.52336613,2024-05-15T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.3877919,36.5092616,2024-05-16T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.3816877,36.54272282,2024-05-16T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.3798178,36.53280827,2024-05-16T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.3996153,36.46089751,2024-05-16T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.4497229,36.44774465,2024-05-17T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.5504835,36.51310741,2024-05-17T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.5267863,36.5061838,2024-05-17T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.4945169,36.60224059,2024-05-17T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.6222983,36.6972566,2024-05-18T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.6484101,36.68252658,2024-05-18T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.5292375,36.62703745,2024-05-18T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.5262372,36.66475091,2024-05-18T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.3468122,36.64300567,2024-05-19T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.1802136,36.54781771,2024-05-19T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0904711,36.53133345,2024-05-19T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0428425,36.47057044,2024-05-19T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0294143,36.46628577,2024-05-20T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.046741,36.44246027,2024-05-20T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0137875,36.46850436,2024-05-20T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0856573,36.38887867,2024-05-20T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.1330634,36.33736762,2024-05-21T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.163277,36.30093159,2024-05-21T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.1621709,36.25992569,2024-05-21T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.1225523,36.26805496,2024-05-21T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.1454552,36.23984854,2024-05-22T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.1640038,36.22254319,2024-05-22T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.1819958,36.12301419,2024-05-22T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0029799,36.10563809,2024-05-22T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.9176029,36.01122342,2024-05-23T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.029486,36.08966665,2024-05-23T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0343189,36.16796397,2024-05-23T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.9243918,36.203269,2024-05-23T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-122.0905117,36.16689382,2024-05-24T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.9133276,36.06466097,2024-05-24T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.6147464,35.98481241,2024-05-24T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.5802175,35.94258784,2024-05-24T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.6476357,35.95848982,2024-05-25T00:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.6425836,35.99519883,2024-05-25T06:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.6510624,35.96963822,2024-05-25T12:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.4708057,35.77867777,2024-05-25T18:00:00Z,254026-RawArgos_pred_6h.csv
254026_2,-121.5531112,35.76558702,2024-05-26T00:00:00Z,254026-RawArgos_pred_6h.csv
